state,F7,F3,P7,O1,O2,P8,AF4
focussed,3842.267628205129,5279.274839743591,4539.591346153847,4081.20592948718,3698.76201923077,4291.682692307693,4230.304487179487
focussed,3844.515224358975,5103.213141025642,4402.327724358975,4068.890224358975,3804.69951923077,4136.3661858974365,4175.885416666667
focussed,3963.501602564103,5112.107371794872,4393.345352564103,4155.528846153847,3969.3910256410263,4176.670673076924,4199.2548076923085
focussed,4074.515224358975,4892.724358974359,4178.717948717949,4414.787660256411,4188.581730769231,4027.9567307692314,4100.981570512821
focussed,4081.7067307692314,4934.859775641026,4210.224358974359,4424.755608974359,4189.391025641026,4100.701121794872,4136.177884615385
focussed,4055.6009615384623,5163.008814102564,4416.5224358974365,4271.061698717949,3985.152243589744,4290.484775641026,4227.367788461539
focussed,3875.8573717948725,5439.583333333334,4704.306891025642,3981.2900641025644,3651.1818910256416,4475.488782051282,4282.45592948718
focussed,3981.1418269230776,4874.475160256411,4182.860576923077,4282.664262820514,4055.94951923077,4039.3229166666674,4030.901442307693
focussed,4106.017628205129,4874.735576923078,4156.089743589744,4467.275641025642,4194.547275641026,4052.3758012820517,4156.334134615385
focussed,4077.8445512820517,5038.469551282052,4283.80608974359,4373.120993589744,4107.155448717949,4177.5360576923085,4168.669871794872
focussed,3936.883012820513,5433.970352564103,4670.088141025642,3981.826923076924,3691.979166666667,4494.006410256411,4349.250801282052
focussed,3935.508814102565,5087.323717948719,4427.231570512821,4105.805288461539,3866.3261217948725,4236.875000000001,4091.5504807692314
focussed,4071.2379807692314,4999.439102564103,4320.961538461539,4329.258814102564,3988.3413461538466,4161.121794871796,4162.419871794872
focussed,4113.453525641026,4963.465544871796,4248.433493589744,4414.987980769231,4103.621794871796,4133.012820512821,4105.508814102564
focussed,4141.883012820514,5152.976762820514,4369.535256410257,4415.05608974359,4133.008814102564,4277.896634615385,4190.532852564103
focussed,4007.0873397435903,5133.750000000001,4402.231570512821,4402.491987179488,3953.882211538462,4260.248397435898,4124.575320512821
focussed,3848.4575320512827,5233.802083333334,4533.3173076923085,4141.121794871796,3701.2219551282055,4317.027243589744,4167.115384615386
focussed,3982.5961538461543,4912.131410256411,4211.390224358975,4263.774038461539,4090.8413461538466,4032.864583333334,3985.576923076924
focussed,4067.4799679487187,4924.106570512821,4199.675480769231,4380.068108974359,4147.327724358975,4067.163461538462,4024.851762820513
focussed,4023.758012820513,4988.693910256411,4273.7860576923085,4343.341346153847,4081.7508012820517,4129.258814102564,4061.8509615384623
focussed,3978.088942307693,5008.23717948718,4292.732371794872,4317.2235576923085,4040.94951923077,4144.967948717949,4071.7668269230776
focussed,3894.0825320512827,5340.212339743591,4617.556089743591,4128.297275641026,3730.729166666667,4426.350160256411,4257.864583333334
focussed,3881.3862179487187,4863.213141025642,4183.754006410257,4134.262820512821,4005.3886217948725,3992.0993589743593,3959.0344551282055
focussed,4023.673878205129,4785.048076923077,4091.566506410257,4304.282852564103,4166.698717948719,3981.9431089743593,4004.5913461538466
focussed,4020.32451923077,4905.008012820514,4179.555288461539,4302.788461538462,4130.048076923077,4072.6442307692314,4051.57451923077
focussed,4004.1306089743593,4966.109775641026,4248.890224358975,4319.807692307693,4115.080128205129,4121.201923076924,4064.146634615385
focussed,3983.6338141025644,5020.208333333334,4299.515224358975,4277.387820512821,4074.282852564103,4168.157051282052,4100.689102564103
focussed,3890.9655448717954,5203.457532051283,4484.154647435898,4073.0288461538466,3823.958333333334,4322.099358974359,4110.1161858974365
focussed,3876.8189102564106,4962.724358974359,4280.236378205129,4134.270833333334,4013.6818910256416,4109.451121794872,4030.0200320512827
focussed,3956.330128205129,4945.612980769231,4233.39342948718,4159.603365384616,4074.611378205129,4098.653846153847,4030.520833333334
focussed,3945.7732371794878,4840.689102564103,4119.883814102564,4336.370192307693,4108.637820512821,4003.882211538462,3994.214743589744
focussed,3991.586538461539,4908.525641025642,4189.759615384616,4367.419871794872,4148.120993589744,4070.1762820512827,4040.4407051282055
focussed,4009.4751602564106,4961.7548076923085,4255.464743589744,4361.710737179488,4140.152243589744,4109.895833333334,4062.7323717948725
focussed,3985.5008012820517,4967.447916666667,4259.419070512821,4327.8485576923085,4093.4855769230776,4097.55608974359,4059.0825320512827
focussed,3958.3253205128212,5215.336538461539,4507.435897435898,4121.638621794872,3850.8493589743593,4331.4423076923085,4172.936698717949
focussed,3806.430288461539,4926.370192307693,4265.108173076924,4143.665865384616,3907.876602564103,4048.5737179487182,4050.1442307692314
focussed,3930.404647435898,4826.225961538462,4134.519230769231,4355.789262820514,4120.645032051282,3958.589743589744,4056.3461538461543
focussed,4001.486378205129,4925.332532051282,4243.016826923077,4351.774839743591,4128.297275641026,4061.41826923077,4084.3669871794878
focussed,4016.129807692308,4984.463141025642,4238.822115384616,4326.177884615385,4119.186698717949,4110.156250000001,4091.7948717948725
focussed,4014.3830128205136,4996.201923076924,4257.139423076924,4307.828525641026,4098.417467948719,4120.552884615385,4090.280448717949
focussed,3927.4719551282055,5106.782852564103,4376.510416666667,4177.3036858974365,3897.764423076924,4227.031250000001,4105.196314102564
focussed,3904.975961538462,4976.738782051283,4276.1298076923085,4217.568108974359,4002.7163461538466,4120.1161858974365,4064.3950320512827
focussed,4028.8461538461543,4963.6298076923085,4241.306089743591,4310.801282051282,4148.517628205129,4103.016826923077,4106.029647435898
focussed,4041.009615384616,5064.2548076923085,4332.748397435898,4232.712339743591,4092.2556089743593,4194.190705128206,4138.717948717949
focussed,3942.848557692308,5034.635416666667,4332.9807692307695,4148.433493589744,3967.776442307693,4173.321314102564,4052.9126602564106
focussed,3918.177083333334,4946.073717948719,4249.43108974359,4208.233173076924,3981.2299679487187,4089.8838141025644,4098.120993589744
focussed,3961.157852564103,4966.498397435898,4258.1610576923085,4259.655448717949,4031.2500000000005,4101.8349358974365,4143.577724358975
focussed,4011.7187500000005,4987.660256410257,4263.092948717949,4276.46233974359,4080.0440705128212,4137.3798076923085,4133.281250000001
focussed,4009.3229166666674,4992.179487179488,4275.244391025642,4270.693108974359,4073.9663461538466,4135.689102564103,4115.645032051282
focussed,4010.3685897435903,4998.517628205129,4269.843750000001,4270.316506410257,4085.9134615384623,4127.648237179487,4100.576923076924
focussed,3987.6963141025644,5160.460737179488,4414.130608974359,4117.7724358974365,3888.537660256411,4267.391826923077,4170.284455128206
focussed,3677.5961538461543,5363.345352564103,4654.354967948719,3591.883012820513,3370.432692307693,4414.050480769231,4212.339743589744
focussed,3745.3445512820517,4766.842948717949,4103.886217948719,4002.463942307693,3952.7123397435903,3913.092948717949,4061.790865384616
focussed,4006.967147435898,4793.898237179488,4088.6618589743593,4363.721955128206,4204.362980769231,3971.3501602564106,4153.245192307692
focussed,4060.0280448717954,4953.301282051283,4216.8349358974365,4388.413461538462,4184.827724358975,4098.072916666667,4182.095352564103
focussed,4053.048878205129,5136.891025641026,4389.859775641026,4208.245192307693,4043.421474358975,4238.741987179487,4225.320512820514
focussed,3771.6306089743593,5290.801282051283,4537.467948717949,3828.7580128205136,3674.030448717949,4341.101762820514,4184.082532051282
focussed,3830.7532051282055,4804.535256410257,4092.592147435898,4217.548076923077,3989.126602564103,3936.3982371794878,4002.19951923077
focussed,4067.027243589744,4879.795673076924,4127.688301282052,4432.483974358975,4191.806891025642,4041.570512820513,4126.145833333334
focussed,4067.223557692308,4984.835737179488,4201.698717948719,4402.508012820514,4158.273237179487,4129.238782051282,4140.937500000001
focussed,4038.509615384616,5053.649839743591,4282.520032051282,4290.236378205129,4095.1963141025644,4196.153846153847,4155.108173076924
focussed,4018.7700320512827,5110.536858974359,4356.610576923077,4201.414262820514,4025.092147435898,4249.0985576923085,4175.905448717949
focussed,3792.251602564103,5180.913461538462,4442.483974358975,4037.692307692308,3702.311698717949,4274.190705128206,4128.970352564103
focussed,3810.2003205128212,4917.023237179488,4217.271634615385,4178.417467948719,3920.520833333334,4032.4919871794878,3998.433493589744
focussed,4089.995993589744,4918.54967948718,4184.859775641026,4391.258012820514,4191.4423076923085,4074.995993589744,4122.071314102564
focussed,4099.046474358975,5001.390224358975,4276.714743589744,4363.445512820514,4153.157051282052,4169.322916666667,4145.3245192307695
focussed,3985.120192307693,5035.985576923077,4305.080128205129,4273.541666666667,4025.5368589743593,4185.400641025642,4128.072916666667
focussed,3913.161057692308,5180.665064102564,4436.161858974359,4061.6185897435903,3787.4158653846157,4313.810096153847,4227.680288461539
focussed,3932.7844551282055,4942.944711538462,4210.861378205129,4177.039262820514,4012.6482371794878,4096.7548076923085,4050.036057692308
focussed,4052.9407051282055,4940.977564102564,4187.139423076924,4335.080128205129,4195.5849358974365,4092.35576923077,4063.7299679487187
focussed,4043.717948717949,4959.014423076924,4196.382211538462,4299.286858974359,4156.3661858974365,4079.1506410256416,4077.9166666666674
focussed,4017.415865384616,4970.040064102564,4200.208333333334,4251.842948717949,4099.935897435898,4079.0504807692314,4082.443910256411
focussed,3999.058493589744,4982.407852564103,4235.420673076924,4229.423076923077,4051.9911858974365,4128.593750000001,4065.16826923077
focussed,3935.8774038461543,5281.778846153847,4518.645833333334,3934.194711538462,3752.9967948717954,4404.090544871796,4158.165064102564
focussed,3749.0104166666674,5241.814903846154,4515.665064102564,3808.1370192307695,3735.6650641025644,4281.165865384616,4135.993589743591
focussed,3991.097756410257,4811.510416666667,4159.519230769231,4338.104967948719,4169.010416666667,3997.9967948717954,4076.5905448717954
focussed,4125.572916666667,4906.915064102564,4201.458333333334,4517.375801282052,4249.495192307693,4128.806089743591,4148.750000000001
focussed,4075.8573717948725,4976.614583333334,4262.495993589744,4441.133814102564,4149.190705128206,4185.725160256411,4119.791666666667
focussed,4031.9751602564106,5035.300480769231,4298.493589743591,4338.257211538462,4076.029647435898,4222.644230769231,4114.823717948719
focussed,3938.9262820512827,5327.163461538462,4562.167467948719,4018.361378205129,3795.0721153846157,4456.915064102564,4250.384615384616
focussed,3781.526442307693,5153.874198717949,4406.706730769231,3972.2195512820517,3838.489583333334,4245.749198717949,4077.3557692307695
focussed,3961.983173076924,4874.863782051283,4156.790865384616,4311.566506410257,4106.875000000001,4027.123397435898,4043.8060897435903
focussed,4100.052083333334,4835.496794871796,4103.729967948719,4497.311698717949,4195.328525641026,4040.5088141025644,4090.5008012820517
focussed,4117.295673076924,4989.2307692307695,4217.059294871796,4470.869391025642,4163.020833333334,4174.122596153847,4177.123397435898
focussed,3915.336538461539,5340.208333333334,4559.851762820514,3986.1618589743593,3709.555288461539,4395.384615384616,4245.284455128206
focussed,3908.3774038461543,4900.42467948718,4186.802884615385,4170.6370192307695,3995.220352564103,3999.399038461539,3977.8285256410263
focussed,4138.8661858974365,4854.739583333334,4116.923076923077,4488.669871794872,4246.213942307693,4073.4855769230776,4052.19951923077
focussed,4136.386217948719,5006.698717948719,4236.802884615385,4468.481570512821,4181.109775641026,4240.7932692307695,4143.573717948719
focussed,4070.120192307693,5087.107371794872,4329.547275641026,4376.951121794872,4070.532852564103,4271.702724358975,4164.667467948719
focussed,3934.1506410256416,5393.621794871796,4629.278846153847,3955.7972756410263,3768.7419871794878,4476.330128205129,4202.840544871796
focussed,3917.2275641025644,4884.947916666667,4186.426282051282,4166.2620192307695,4004.9799679487187,4052.6041666666674,3853.321314102565
focussed,4071.4943910256416,4816.141826923077,4096.9911858974365,4411.025641025642,4156.358173076924,4042.3637820512827,4050.9174679487187
focussed,4091.6987179487187,5012.764423076924,4239.595352564103,4409.927884615385,4140.552884615385,4203.838141025642,4171.109775641026
focussed,4034.467147435898,5067.091346153847,4292.920673076924,4331.1057692307695,4081.1137820512827,4234.535256410257,4159.623397435898
focussed,4030.973557692308,5098.104967948719,4333.5536858974365,4313.533653846154,4082.504006410257,4259.310897435898,4156.394230769231
focussed,3937.0592948717954,5114.939903846154,4368.016826923077,4235.336538461539,3906.334134615385,4260.600961538462,4167.415865384616
focussed,3947.379807692308,5031.742788461539,4281.0536858974365,4232.8245192307695,4023.6217948717954,4182.423878205129,4089.9879807692314
focussed,4013.8661858974365,5029.743589743591,4274.43108974359,4261.350160256411,4117.003205128206,4192.940705128206,4087.427884615385
focussed,4002.3637820512827,5073.681891025642,4327.439903846154,4237.139423076924,4053.249198717949,4232.411858974359,4110.084134615385
focussed,3925.989583333334,5112.351762820514,4372.079326923077,4145.332532051282,3959.222756410257,4253.1610576923085,4074.879807692308
focussed,3948.1570512820517,4961.786858974359,4215.645032051282,4230.000000000001,4053.149038461539,4114.931891025642,4019.066506410257
focussed,4006.9070512820517,5000.180288461539,4249.3870192307695,4282.86858974359,4090.1482371794878,4163.898237179487,4107.415865384616
focussed,4013.717948717949,5021.4423076923085,4265.096153846154,4303.645833333334,4089.8918269230776,4183.301282051282,4111.217948717949
focussed,4002.347756410257,5033.197115384616,4275.729166666667,4294.274839743591,4075.100160256411,4196.005608974359,4079.3830128205136
focussed,3993.8862179487187,5032.6161858974365,4294.290865384616,4275.448717948719,4055.16826923077,4205.432692307693,4086.2299679487187
focussed,3967.1794871794878,5168.541666666667,4431.089743589744,4121.810897435898,3867.4038461538466,4323.561698717949,4139.691506410257
focussed,3699.967948717949,5206.502403846154,4495.649038461539,3750.629006410257,3579.2868589743593,4287.031250000001,3987.660256410257
focussed,3810.0280448717954,4735.552884615386,4049.7756410256416,4100.152243589744,3986.802884615385,3895.9655448717954,3956.4062500000005
focussed,3989.058493589744,4844.350961538462,4098.886217948719,4347.576121794872,4135.040064102564,4060.901442307693,4122.932692307693
focussed,4017.2756410256416,4967.419871794872,4214.3349358974365,4356.866987179488,4102.664262820514,4170.492788461539,4151.526442307692
focussed,4000.240384615385,5003.353365384616,4252.644230769231,4321.967147435898,4066.2940705128212,4187.2235576923085,4125.516826923077
focussed,3998.7099358974365,5064.455128205129,4309.234775641026,4276.554487179487,4023.5536858974365,4255.204326923077,4132.287660256411
focussed,3891.057692307693,5049.663461538462,4316.943108974359,4229.595352564103,3916.7748397435903,4229.443108974359,4089.683493589744
focussed,3983.6378205128212,5004.467147435898,4266.217948717949,4280.208333333334,4070.9655448717954,4180.064102564103,4105.256410256411
focussed,4041.0056089743593,5021.666666666667,4274.447115384616,4300.128205128206,4122.732371794872,4216.666666666667,4112.61217948718
focussed,4020.552884615385,5003.986378205129,4269.8036858974365,4287.996794871796,4077.608173076924,4172.820512820514,4098.1610576923085
focussed,4003.890224358975,5007.267628205129,4278.201121794872,4267.600160256411,4055.977564102565,4174.519230769231,4096.370192307693
focussed,4008.557692307693,5013.882211538462,4280.140224358975,4285.5048076923085,4068.0088141025644,4167.996794871795,4093.942307692308
focussed,4012.483974358975,5009.118589743591,4284.278846153847,4332.576121794872,4071.390224358975,4169.931891025642,4088.970352564103
focussed,4019.0825320512827,5006.822916666667,4282.900641025642,4358.914262820514,4080.352564102565,4172.936698717949,4083.6137820512827
focussed,4015.9775641025644,5000.472756410257,4263.64983974359,4385.368589743591,4085.7572115384623,4146.406250000001,4082.592147435898
focussed,4014.963942307693,4995.965544871796,4257.780448717949,4391.282051282052,4090.432692307693,4144.455128205129,4081.6306089743593
focussed,4021.911057692308,5004.2548076923085,4253.910256410257,4367.640224358975,4101.406250000001,4146.089743589744,4098.7860576923085
focussed,3992.720352564103,5106.903044871796,4355.452724358975,4305.140224358975,3979.6594551282055,4224.851762820514,4078.597756410257
focussed,3901.330128205129,5022.407852564103,4311.20592948718,4249.354967948719,3892.7163461538466,4151.021634615385,3910.4847756410263
focussed,3970.3846153846157,4965.89342948718,4265.568910256411,4313.425480769231,4032.5320512820517,4124.354967948719,4116.241987179488
focussed,3999.9479166666674,4991.854967948719,4268.621794871796,4297.387820512821,4070.1842948717954,4155.781250000001,4200.508814102564
focussed,3996.8910256410263,4996.390224358975,4276.033653846154,4280.332532051282,4063.9383012820517,4159.963942307693,4161.173878205129
focussed,4002.572115384616,5014.218750000001,4285.040064102564,4246.474358974359,4064.9318910256416,4162.888621794872,4147.6923076923085
focussed,3943.1931089743593,5091.686698717949,4350.184294871796,4158.778044871795,3905.749198717949,4187.215544871796,4123.689903846154
focussed,3894.867788461539,5103.193108974359,4396.097756410257,4005.0881410256416,3794.539262820513,4219.423076923077,4069.114583333334
focussed,3925.901442307693,5000.252403846154,4301.846955128206,4185.540865384616,3967.820512820513,4157.207532051282,4138.221153846154
focussed,3976.67467948718,5030.693108974359,4297.544070512821,4273.529647435898,4061.5945512820517,4174.911858974359,4172.600160256411
focussed,3990.316506410257,5042.411858974359,4325.068108974359,4247.712339743591,4052.748397435898,4201.750801282052,4138.645833333334
focussed,3981.6065705128212,5037.592147435898,4318.810096153847,4233.906250000001,4013.529647435898,4190.1682692307695,4177.315705128206
focussed,3914.114583333334,5090.685096153847,4360.432692307693,4270.400641025642,3877.1193910256416,4190.709134615385,4137.227564102564
focussed,3843.249198717949,5007.039262820514,4309.531250000001,4241.185897435898,3901.3501602564106,4113.245192307693,4062.8004807692314
focussed,3942.8044871794878,4992.347756410257,4274.006410256411,4247.495993589744,4022.592147435898,4128.277243589744,4110.484775641026
focussed,3944.8437500000005,5156.266025641026,4425.352564102564,4119.719551282052,3940.8092948717954,4279.306891025642,4159.839743589744
focussed,3822.7163461538466,5075.705128205129,4355.160256410257,4084.2668269230776,3870.7251602564106,4196.959134615385,4043.2532051282055
focussed,3914.142628205129,5038.068910256411,4339.895833333334,4262.548076923077,3936.233974358975,4158.189102564103,4170.985576923077
focussed,3952.9086538461543,5094.354967948719,4384.9599358974365,4209.791666666667,4016.1818910256416,4215.881410256411,4155.176282051282
focussed,3925.0961538461543,5010.781250000001,4304.222756410257,4235.096153846154,4042.6041666666674,4141.414262820514,4075.8373397435903
focussed,3984.17467948718,4991.830929487181,4285.200320512821,4300.933493589744,4089.7596153846157,4126.021634615385,4133.153044871796
focussed,4035.5008012820517,5070.024038461539,4348.361378205129,4291.394230769231,4045.548878205129,4198.729967948719,4180.236378205129
focussed,3758.0248397435903,5166.462339743591,4462.696314102564,3995.9254807692314,3667.3036858974365,4242.764423076924,4143.501602564103
focussed,3940.036057692308,4940.965544871796,4269.078525641026,4226.702724358975,4044.338942307693,4067.852564102565,4072.624198717949
focussed,4035.520833333334,5008.493589743591,4310.444711538462,4318.970352564103,4123.557692307692,4135.881410256411,4096.46233974359
focussed,4044.3149038461543,4963.758012820514,4263.281250000001,4319.170673076924,4150.9735576923085,4124.711538461539,4076.0536858974365
focussed,4050.7411858974365,4995.420673076924,4288.112980769231,4314.459134615385,4134.298878205129,4141.610576923077,4119.64342948718
focussed,3961.8830128205136,5260.020032051283,4522.852564102564,4068.257211538462,3849.439102564103,4339.451121794872,4212.103365384616
focussed,3774.6193910256416,5183.325320512821,4497.367788461539,3870.661057692308,3704.0905448717954,4217.908653846154,4086.810897435898
focussed,3979.9599358974365,4808.433493589744,4107.736378205129,4271.021634615385,4103.100961538462,3953.161057692308,4102.411858974359
focussed,4109.238782051282,4897.592147435898,4162.311698717949,4445.344551282052,4217.343750000001,4066.077724358975,4170.048076923077
focussed,4075.164262820513,4987.592147435898,4253.485576923077,4405.104166666667,4150.1161858974365,4137.115384615385,4138.405448717949
focussed,4031.10576923077,5011.278044871796,4279.74358974359,4342.900641025642,4102.183493589744,4146.5224358974365,4077.8806089743593
focussed,4006.810897435898,5007.896634615386,4280.308493589744,4322.6161858974365,4075.1482371794878,4141.017628205129,4048.177083333334
focussed,4023.9463141025644,5027.944711538462,4308.413461538462,4326.638621794872,4096.875000000001,4169.711538461539,4082.4599358974365
focussed,4032.9607371794878,5061.354166666667,4332.712339743591,4294.094551282052,4067.307692307693,4195.693108974359,4106.1298076923085
